,,,,,,,,,,,,,,,,,0,0,0,1,2,3,3,6,6,8,8,8,8,8,8,8,
,,,,,,,,,,,,,,,,,RECEIVER,RECEIVER,RECEIVER,TEMPERATURE SENSOR,RPM SENSOR,ALTITUDE SENSOR,ALTITUDE SENSOR,VOLTAGE SENSOR,VOLTAGE SENSOR,GPS,GPS,GPS,GPS,GPS,GPS,GPS,
TIME,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,BATTERY,EXTERNAL BATTERY,STATUS,TEMPERATURE,ROTATION,ALTITUDE,VARIOMETER,BATTERY,EXT. BATT.,DISTANCE,SPEED,ALTITUDE,VARIOMETER,LATITUDE,LONGITUDE,TIME(UTC),
5090,0,-25,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
5160,0,-25,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
5220,1,-25,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  238, 78,  150,+128,N 33:26.6158,W111:35.4597,19:21:04,
5270,2,-26,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  252, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5330,3,-26,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5380,5,-25,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5440,5,-25,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5490,5,-25,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5550,5,-26,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5600,4,-27,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5650,4,-27,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5710,5,-27,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5770,5,-27,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5830,6,-27,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5880,7,-26,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
5940,8,-26,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
6000,12,-24,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
6060,27,-19,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
6120,36,-17,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
6170,39,-17,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
6230,32,-17,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  272, 80,  177,+146,N 33:26.6015,W111:35.4752,19:21:05,
6290,20,-20,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  274, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6350,16,-20,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6410,18,-20,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6470,25,-18,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6530,30,-17,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6580,38,-14,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6640,43,-11,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6700,43,-11,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6760,43,-9,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6820,44,-7,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6890,36,-6,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
6940,29,-6,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
7030,7,-7,70,2,-100,-100,0,0,0,0,0,0,-136,-136,0,0,  5.0,  0.0,3,---,     0,---,---,---,---,  278, 65,  183, +36,N 33:26.5850,W111:35.4768,19:21:06,
